,tweetids,topics,alltopics,categories,MultimediaShare,Hashtags,PastNews,Sentiment,Discussion,KnownAlready,Factoid,EmergingThreats,ContinuingNews,Irrelevant,Donations,ThirdPartyObservation,Volunteer,CleanUp,Advice,InformationWanted,FirstPartyObservation,cleanedtweets
12,964823737492271104,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,": Dear Ted Cruz, here are some facts: Las Vegas concert: many people killed Orlando nightclub: many people killed Te…"
13,964762070548819969,flSchoolShooting2018,flSchoolShooting2018,"['Hashtags', 'PastNews', 'Sentiment']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#My condolence to the families that lost children #killed #wounded #injured in Parkland FL #Ted Cruz comment wait for all the information
14,964712330872475648,flSchoolShooting2018,flSchoolShooting2018,"['Hashtags', 'PastNews', 'Discussion']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Ted Cruz today said ""Its not a gun issue, it's a violent criminal issue"" ... Like the kid could've…"
15,964680330794987520,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Years before a man killed 17 people at a Florida school, his mother repeatedly called police to help deal with his…"
16,964259331700117504,flSchoolShooting2018,flSchoolShooting2018,"['Hashtags', 'PastNews', 'Sentiment', 'KnownAlready']",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"BREAKING: The leader of a white nationalist group in Florida confirmed Nikolas Cruz, the shooter who killed 17 peop…"
17,964251217173065729,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Factoid', 'Hashtags', 'PastNews']",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NYTimes Florida Shooting Live Updates: White Supremacy Group Claims Nikolas Cruz as Member - Names of all 17 peopl…
18,964246457623695365,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Hashtags', 'PastNews', 'Discussion', 'KnownAlready']",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,More on Cruz and the 17 people killed tonight at 5 #WLKY
19,964232904112070656,flSchoolShooting2018,flSchoolShooting2018,"['Factoid', 'PastNews', 'Discussion', 'KnownAlready']",0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,: UPDATE: 17 confirmed dead in Florida high school shooting. 12 shot inside the school. 2 killed outside. 1 on nearby…
20,964216648906477573,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Sentiment']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"▶: The Florida School Shooter Is A Racist Terrorist, So Why Won’t Police Call Him That? - The teenager who…"
21,964162133104578560,flSchoolShooting2018,flSchoolShooting2018,"['EmergingThreats', 'MultimediaShare', 'KnownAlready']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Breaking: Florida school on lockdown after ‘shots’ 7 miles from yesterday's shooting
22,964063502317989888,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Factoid', 'Hashtags', 'ContinuingNews', 'KnownAlready']",1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,": UPDATE: Marjory Stoneman Douglas High School shooting in Florida: 17 killed, suspect Nicholas Cruz in custody in Florida…"
23,967581217905397760,flSchoolShooting2018,flSchoolShooting2018,['Irrelevant'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Tracy is a wonderful person who has always been there for us and our kiddos shooting many of their sporting...
24,967459907552325632,flSchoolShooting2018,flSchoolShooting2018,"['Donations', 'PastNews', 'Discussion', 'KnownAlready']",0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,Thanks please #Help Check out my #GoFundMe Video -) &amp; #Crowdfunding page…
25,967407551011868672,flSchoolShooting2018,flSchoolShooting2018,"['Donations', 'ThirdPartyObservation', 'MultimediaShare', 'PastNews', 'Discussion']",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,": #KyleLaman, survivor of the MSDHS, Parkland Shooting, still in hospital and needing lots of work - parents need help RAI…"
26,966868487317741568,flSchoolShooting2018,flSchoolShooting2018,"['Donations', 'PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Want to help the families and victims of the shooting at Marjory Stoneman Douglas High school? Consider making a do…
27,966648466251419648,flSchoolShooting2018,flSchoolShooting2018,"['Donations', 'MultimediaShare', 'PastNews', 'Discussion']",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,: Please support my GoFundMe campaign: #NeverAgain
28,966350899017695232,flSchoolShooting2018,flSchoolShooting2018,['Irrelevant'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,I'm raising money for Get Brandy Spayed And Shots!. Click to Donate: via
29,966105684336107521,flSchoolShooting2018,flSchoolShooting2018,"['Donations', 'MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,": Instead of screaming my face off about That Dinesh D'Souza Tweet, here is a link to a GoFundMe started by the Parkland st…"
30,965924140510261249,flSchoolShooting2018,flSchoolShooting2018,"['Donations', 'MultimediaShare', 'PastNews', 'Sentiment', 'KnownAlready']",1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Thank you very much for following! :-) heck out my #GoFundMe Video -) &amp;…
31,965557741417844737,flSchoolShooting2018,flSchoolShooting2018,"['Donations', 'PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Click here to support Parkland strong bracelet fund organized by Stephanie Frankel Cassidy
32,965505625336692737,flSchoolShooting2018,flSchoolShooting2018,"['Donations', 'PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"ICYMI: recycleamericaradioshow Florida shooting victims helped by GoFundMe, comfort dogs and more…"
33,964674557113196544,flSchoolShooting2018,flSchoolShooting2018,"['Donations', 'PastNews', 'Discussion', 'KnownAlready']",0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,": UPDATE: Official GoFundMe page for victims of yesterday's mass shooting has already raised over $150,000 in just two hours. https…"
34,964494050257711105,flSchoolShooting2018,flSchoolShooting2018,"['Donations', 'Hashtags', 'PastNews', 'Discussion']",0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,#AlwaysOn KRQE reference ↦ Florida School Shooting Victims GoFundMe Page
35,964284421644800000,flSchoolShooting2018,flSchoolShooting2018,['Irrelevant'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"#FloridaSchoolShooting PLEASE STOP! Please read, #RT #Share, #like, and #help bring Isaiah #home. Lets take 5 secs…"
36,964179249069518849,flSchoolShooting2018,flSchoolShooting2018,"['Donations', 'MultimediaShare', 'PastNews']",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Anyone looking to donate to help the victims and families from the school shooting in Parkland, FL, please donate a…"
37,967478935196848128,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,": TERRIFYING: Cellphone video shows the moment SWAT team officers cleared a classroom at Stoneman Douglas HS in Parkland, F…"
38,967417959550304256,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Hashtags', 'PastNews', 'Discussion', 'KnownAlready']",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,": The is awarding its Medal of Heroism to three #JROTC cadets killed in last week's school shooting in #Parkland, Flori…"
39,967197209568555008,flSchoolShooting2018,flSchoolShooting2018,"['Hashtags', 'PastNews', 'Discussion']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,don’t care if kids are killed! They only care WHERE they are killed! School shooting?…
40,967058771905269765,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,: Broward County sheriff said an armed security officer in Parkland had a chance to stop last week's shooting but did not. Video…
41,967039622655049730,flSchoolShooting2018,flSchoolShooting2018,['Irrelevant'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,": Columbine had a deputy sheriff who shot at &amp; missed the primary shooter, who then ran back INTO the school &amp; kille…"
42,967027198963191808,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Deputy at Florida high school where 17 were killed 'never went in,' resigns"
43,966817883140567041,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,": UPDATE: The school resource officer at Stoneman Douglas HS was on campus, armed and in uniform during the shooting, but didn't e…"
44,966792242198233088,flSchoolShooting2018,flSchoolShooting2018,['Irrelevant'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,OMG! Another school shooting. This one n kentucky. 2 killed. 18 injured. These students need help
45,966659596684316673,flSchoolShooting2018,flSchoolShooting2018,['Irrelevant'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,": UPDATE: 2 killed and 12 injured (all students) in the mass shooting at Marshall County High School in Benton, Kentucky. http…"
46,966655676721319942,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Hashtags', 'PastNews', 'Discussion']",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,": #US #President #DonaldTrump met with #Florida high school shooting #Survivors in the white house, following wide scale c…"
47,966221497323974657,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,The US Army is awarding the Medal of Heroism to three students killed in the Florida school shooting. Alaina Petty…
48,966178284680728576,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'ContinuingNews', 'KnownAlready']",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Officers evacuate students from Stoneman Douglas High School in Parkland, FL, where a gunman killed 17 people using…"
49,966045183921082368,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,U.S. Army awards Medal of Heroism to three JROTC cadets killed in Florida high school shooting.…
50,966019140682240002,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Factoid', 'PastNews', 'Discussion']",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Updated map of school shootings totals at least 23 killed and 41 injured in school shootings so far in 2018.
51,965807898352734209,flSchoolShooting2018,flSchoolShooting2018,"['ThirdPartyObservation', 'MultimediaShare', 'Hashtags', 'PastNews', 'Discussion']",1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Alaina Petty with her dog. Alaina was one of the victims killed in the Florida school shooting. She was one of the…
52,965656268416475137,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Shooting survivors on potential collision course with Trump What about Chicago people are…
53,965591463265558528,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,I’ve probably killed hundreds of thousands of characters on video game and I’ve never once wanted to shot up a scho…
54,965228205123817474,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Sentiment']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'YOU KILLED MY KID!': Anger boils over at Florida school shooting funerals
55,965078954351579136,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,": If its any consolation madam. Your son was killed in a shooting at a school, and not a school shooting."
56,964940260215058439,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Hashtags', 'PastNews', 'Discussion']",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,The child welfare agency in Florida investigated the suspect in a school shooting that killed 17 people after he ha…
57,964669018484477952,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Reporter just asked Trump about guns during Florida visit. His response says it all (WATCH): On the heels of Wednes…
58,964627784403431425,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion', 'KnownAlready']",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"A Florida school shooting survivor just challenged Trump “face to face” in viral tweet: On Tuesday, a devastating m…"
59,964626599533572096,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Sentiment']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,i don’t understand attorneys. WHY TF would you defend someone that shot up a school and killed people. just imagine…
60,964602653681573889,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,: 2/14/18: school shooting that killed 17 people. 2/16/18: Washington state college is on lockdown for reports of shots fir…
61,964565863406817280,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion', 'KnownAlready']",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,: HERO: Meet The Football Coach Killed Acting As Human Shield During FL High School Shooting
62,964515761917251584,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Yea no mass shootings. But they have another problem now... a Knife problem. If there’s a will, they’ll find a way.…"
63,964372200173182976,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Accused South Florida school shooter confessed to rampage that killed 17 people, police say…"
64,964367966413275136,flSchoolShooting2018,flSchoolShooting2018,['Irrelevant'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,: 2014 4 killed in Washington high school shooting 2014 1 killed in Oregon high school shooting 2013 1 killed in Colorado hig…
65,964346259384528896,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Sentiment']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,: A gun has never walked to a school and shot students. It's the person behind the trigger. I know 100's of people that have…
66,964329543174586368,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Honestly the day after another mass shooting at a school leads to me unfollowing so many people. Anyone who can arg…
67,964312020790272000,flSchoolShooting2018,flSchoolShooting2018,"['Factoid', 'PastNews', 'Discussion']",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,: This keeps happening again and again and again ... 2018 17 killed in Florida high school shooting 2018 02 killed in Ke…
68,964301839339573248,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'ContinuingNews', 'KnownAlready']",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,": Update: At least 17 people were killed in a shooting at a high school in South Florida, law enforcement officials said https:/…"
69,964292860811071488,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Fla. school shooting suspect charged with 17 murders - UPDATE (2:33 p.m. PST): PARKLAND, Fla. — A Florida sheriff s…"
70,964284354770989056,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'KnownAlready']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Florida High School Shooter Was A Member Of Local White Nationalist Group I really Hope Thi…
71,964273063163584512,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,UPDATE: A Florida sheriff says the suspect in a school shooting that killed 17 people stopped at fast food restaura…
72,964266849595772930,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Officials provide timeline, update on Florida school shooting that killed 17"
73,964258542403416065,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"UPDATE: Authorities have reportedly obtained a confession from the suspect involved in Wednesday's school shooting,…"
74,964257541533437952,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion', 'KnownAlready']",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,: #BreakingUpdate: The man suspected of killing 17 people in Florida school shooting confessed to being the shooter----&gt;
75,964227429106515968,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Sentiment']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Exactly how many prayers do we need to stop school shootings? Can you at least give us an estimate? Ho…
76,964221797984956416,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Sentiment']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A Parkland massacre survivor just gave Tomi Lahren the ass-kicking she deserves for shilling for NRA: A horrific ma…
77,964190914418634752,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Sentiment']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"There was a school shooting where a guy killed 32 students with 2 hand guns. Any weapon can be used, m…"
78,964173929488244736,flSchoolShooting2018,flSchoolShooting2018,"['Hashtags', 'PastNews', 'Discussion']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Doctors say at least three patients are in a critical condition in hospital after the shooting at a school in…
79,964172031892905984,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Sentiment']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The teenagers killed in Florida yesterday had the misfortune of growing up — of trying to grow up — in a country th…
80,964167065409011712,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'ContinuingNews', 'KnownAlready']",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,": Update: At least 16 people were killed in the Florida high school shooting, law enforcement sources say; suspect ID'd as former s…"
81,964142871354986496,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Sentiment']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,May the innocent souls of those victims that were mercilessly killed at school in Florida all rest in Peace. May th…
82,964138394480758785,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Hashtags', 'PastNews', 'KnownAlready']",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,#Parkland update: - At least 17 people were killed and 15 injured when a shooter opened fire in a Florida high scho…
83,964130455275450368,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Stoneman Douglas assistant football coach Aaron Feis killed responding to shooting: 'That is not firecrackers'…
84,964115964613812224,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Hashtags', 'PastNews', 'Sentiment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Please say a prayer for the deceased and injured in Parkland, FL. PICTURED: Girl and track coach killed in Florida…"
85,964089122599161856,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Sentiment']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Student slams Trump over gun controls after 17 killed in Florida school shooting
86,964047216049639425,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Factoid', 'Hashtags', 'PastNews']",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,: Update #floridaschoolshooting 17 now confirmed dead Shooter Nicolas Cruz Was expelled from school for discplinary reaso…
87,964014869996605442,flSchoolShooting2018,flSchoolShooting2018,"['Hashtags', 'PastNews', 'Discussion']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"The #Parkland HS held a fire drill in the morning. The fire alarm went off again in the afternoon, and kids who exi…"
88,966105532581994496,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Sentiment']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Idiot STILL thinks it was okay for Cruz to have AR-15. WTF? Host dad who took in Florida school shooting suspect: ""…"
89,966029860874354690,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,School records shed new light on accused Florida shooter Nikolas Cruz via
90,965980616079548416,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Irrelevant']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Compareció Nikolas Cruz ¿Qué dijo? INFORME:
91,965964334244474880,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,#VIDEO Video: Nikolas Cruz involucrado en pelea a golpes en 2016
92,965944148460175360,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A judge ordered the release of the documents from Florida's Children and Family Services on Nikolas Cruz.
93,965912942528073731,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion', 'KnownAlready']",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,: Nikolas Cruz the Florida shooter was captured alive after killing 17 people but... #PrayersForParkland #FloridaSchoolS…
94,965905893832486912,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Governor Rick Scott says families want to know why tips the FBI had about school shooter Nikolas Cruz didn't help.
95,965839514475343873,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion', 'KnownAlready']",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Un informe confidencial del pasado de Nikolas Cruz describe cómo cortó sus brazos en las redes sociales y dijo que…
96,965803745551572993,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,“If Nikolas Cruz had been arrested 4 his prior criminal behavior he would not have passed background check 4 firear…
97,965803198769520642,flSchoolShooting2018,flSchoolShooting2018,"['Hashtags', 'PastNews', 'Discussion', 'KnownAlready']",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"#EEUU Nikolas Cruz, atacante de #Florida, tenía al menos 10 rifles"
98,965744731258081286,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,": Nikolas Cruz, un fanático de las armas con entrenamiento militar que quería destrozar su escuela -"
99,965736036826472448,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Florida Social Services Deemed School Shooter Nikolas Cruz A ‘Low’ Risk After Learning He Planned To Buy A Gun…
100,965729124953321477,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,: UPDATE: Florida school shooting suspect booked on charges of premeditated murder
101,965725506506194944,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion', 'KnownAlready']",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Nikolas Cruz stays silent during second Florida court appearance
102,965670537572831233,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,New: Judge grants order to release DCF docs into 2016 Nikolas Cruz investigation. Docs show he cut his arms on Snap…
